Term,Part Of Speech,Sentiment,Frequency
strong,JJ,positive,2
marvellous,JJ,positive,2
feat,NN,positive,2
acquit,VB,positive,2
fawningly,RB,negative,2
animosity,NN,negative,2
saint,NN,positive,2
upheld,VBD,positive,1
shrug,VB,negative,2
trustworthiness,NN,positive,2
likelihood,NN,neutral,4
discrimination,NN,negative,4
dance,NN,positive,4
full,JJ,neutral,5
balk,VB,negative,1
beloved,JJ,positive,2
entrust,VB,positive,2
evasive,JJ,negative,2
defense,NN,positive,2
awe,NN,positive,2
redemption,NN,positive,2
suicidal,JJ,negative,2
persevere,VBP,positive,1
precision,NN,positive,2
benefits,NNS,positive,4
humanists,NNS,positive,4
belittle,VB,negative,1
diplomatic,JJ,positive,4
bedlamite,NN,negative,1
substantial,JJ,positive,2
incapably,RB,negative,1
deprive,VB,negative,2
pillar,NN,positive,4
disadvantageous,JJ,negative,4
sketchy,JJ,negative,2
traduce,VBP,negative,2
stiff,JJ,negative,1
unwieldy,JJ,negative,2
reassurance,NN,positive,4
monotony,NN,negative,1
skillfully,RB,positive,2
flatteringly,RB,positive,2
addict,NN,negative,2
rich,JJ,positive,4
death,NN,negative,2
attest,VB,positive,2
entrap,VB,negative,1
involuntary,JJ,negative,2
gratitude,NN,positive,4
undependable,JJ,negative,2
normal,JJ,positive,2
inflict,VB,negative,2
inconsequentially,RB,negative,2
sentiment,NN,positive,6
brittle,JJ,negative,2
prejudice,NN,negative,4
entreatingly,FW,positive,1
would,MD,neutral,2
protect,VBP,positive,2
undone,VBN,negative,2
preferable,JJ,positive,4
fortuitous,JJ,positive,2
inaccurate,JJ,negative,2
sick,JJ,negative,2
joker,NN,negative,1
gem,NN,positive,4
faith,NN,positive,4
browbeat,VB,negative,2
abundance,NN,positive,2
irritated,JJ,negative,2
attack,NN,negative,4
meddle,VBP,negative,1
reaction,NN,neutral,4
lonesome,JJ,negative,2
memorable,JJ,positive,2
dig,NN,negative,2
alas,UH,negative,2
integral,JJ,positive,2
progressive,JJ,positive,2
ruinous,JJ,negative,2
purify,VB,positive,1
adroit,JJ,positive,2
realistically,RB,positive,2
suspect,NN,negative,2
sting,NN,negative,3
refuge,NN,positive,2
view,VBP,neutral,3
withhold,VBP,negative,1
indiscriminately,RB,negative,2
dangerous,JJ,negative,2
doubts,NNS,negative,4
intrusion,NN,negative,2
disinclination,NN,negative,2
persuade,VB,positive,2
venerably,RB,positive,2
refusal,NN,negative,4
jumpy,JJ,negative,2
sovereignty,NN,neutral,4
exaltingly,FW,positive,1
soften,VBP,positive,3
fruitless,JJ,negative,2
dextrous,JJ,positive,2
charitable,JJ,positive,4
roadblocks,NNS,negative,4
tease,VB,negative,1
shun,VB,negative,2
priceless,JJ,positive,2
irk,VB,negative,1
constitutions,NNS,neutral,4
forgiveness,NN,positive,2
interfere,VB,negative,2
complete,JJ,neutral,2
injustices,NNS,negative,4
adversity,NN,negative,2
choppy,JJ,negative,2
abnormal,JJ,negative,2
reactionary,JJ,negative,2
imagine,VBP,neutral,2
rollercoaster,JJ,negative,4
altruist,NN,positive,1
intensive,JJ,neutral,2
frozen,JJ,negative,1
happily,RB,positive,2
dismal,JJ,negative,2
crime,NN,negative,2
truthfulness,NN,positive,2
completely,RB,neutral,2
brisk,JJ,positive,2
warfare,NN,negative,2
depressed,JJ,negative,1
problem,NN,negative,2
panicky,JJ,negative,2
offend,VB,negative,4
mystify,VB,negative,1
slight,JJ,negative,6
tenuously,RB,negative,2
insensible,JJ,negative,1
intensively,RB,neutral,2
imprudence,NN,negative,2
maturely,RB,positive,2
stern,JJ,negative,4
corrode,VBP,negative,1
compulsory,JJ,negative,1
manic,JJ,negative,2
disarm,VBP,negative,1
refuse,VBP,negative,1
insidious,JJ,negative,2
golden,JJ,positive,2
downside,NN,negative,2
impartially,RB,positive,2
expropriation,NN,negative,4
affluence,NN,positive,2
cheap,JJ,negative,2
intrigue,NN,positive,6
unlawful,JJ,negative,2
anxiousness,NN,negative,2
gems,NNS,positive,4
lenient,JJ,positive,1
scorn,VBP,negative,2
preemptive,JJ,positive,2
horrify,VB,negative,2
impatient,JJ,negative,1
sanity,NN,positive,4
inflammatory,JJ,negative,2
junk,NN,negative,2
learning,NN,positive,1
decisiveness,NN,positive,4
ebullient,JJ,positive,2
eventful,JJ,positive,2
ensure,VB,positive,2
irrational,JJ,negative,2
mischief,NN,negative,4
gape,VB,negative,1
illogic,NN,negative,2
zest,NN,positive,1
condemnation,NN,negative,2
captivation,NN,positive,2
discourage,VB,negative,2
creative,JJ,positive,2
inexpertly,RB,negative,2
dungeons,NNS,negative,4
pinch,VBP,negative,2
overkill,NN,negative,2
awed,JJ,positive,2
reform,NN,positive,4
zealous,JJ,negative,2
idealism,NN,positive,2
heartbreak,NN,negative,2
inexcusable,JJ,negative,2
crooked,JJ,negative,2
agility,NN,positive,2
revive,VB,positive,2
stands,NNS,neutral,2
alliances,NNS,neutral,4
unclean,JJ,negative,2
degenerate,VBP,negative,1
duty,NN,neutral,3
congestion,NN,negative,2
fixer,NN,neutral,4
condolences,NNS,negative,2
cold,JJ,negative,1
ardor,NN,positive,2
ambiguity,NN,negative,2
cute,JJ,positive,2
admonition,NN,negative,2
contemptible,JJ,negative,2
capriciousness,NN,negative,2
laconic,JJ,negative,2
venomous,JJ,negative,2
oblivious,JJ,negative,4
ejaculate,VBP,negative,1
tyrant,NN,negative,1
needs,NNS,neutral,2
vivacious,JJ,positive,1
olympic,JJ,neutral,1
abuse,NN,negative,6
tall,JJ,neutral,2
constructive,JJ,positive,6
dictatorial,JJ,negative,2
salute,VB,positive,1
gamble,NN,negative,4
clever,JJ,positive,2
oppression,NN,negative,4
merriment,NN,positive,2
quarrel,VBP,negative,3
proportionately,RB,neutral,2
prepared,JJ,positive,1
stridently,RB,negative,2
survivor,NN,positive,2
eviscerate,VB,negative,1
grim,JJ,negative,2
dangle,VBP,negative,1
amiabily,RB,positive,1
justifiable,JJ,positive,2
liberal,JJ,positive,1
attain,VB,positive,2
imposers,NNS,negative,4
relevant,JJ,positive,2
lewdly,RB,negative,2
prominence,NN,positive,2
touches,NNS,neutral,4
solemn,JJ,negative,4
disobedience,NN,negative,2
unfairly,RB,negative,2
sorrow,NN,negative,4
prideful,JJ,negative,2
debase,VB,negative,1
insignificance,NN,negative,2
blunder,NN,negative,4
horrible,JJ,negative,4
abundant,JJ,positive,2
anyways,IN,neutral,1
concerted,JJ,neutral,2
smother,VB,negative,1
champ,NN,positive,2
literate,JJ,positive,1
bogus,JJ,negative,2
inconclusive,JJ,negative,2
pollute,VB,negative,1
emptiness,NN,negative,4
wasteful,JJ,negative,2
excuses,NNS,negative,2
invulnerable,JJ,positive,2
impassioned,JJ,positive,1
villian,NN,negative,2
merit,NN,positive,4
unwanted,JJ,negative,2
peaceful,JJ,positive,4
support,NN,positive,6
despotic,JJ,negative,2
exaggeration,NN,negative,4
evildoer,NN,negative,2
sensitivity,NN,positive,4
inferior,JJ,negative,2
easy,JJ,positive,2
irresolvable,JJ,negative,2
holy,JJ,positive,2
bestial,JJ,negative,2
arrogant,JJ,negative,4
enslave,VB,negative,1
insensitively,RB,negative,2
arduous,JJ,negative,2
haughtily,RB,negative,2
nourishment,NN,positive,2
unencumbered,JJ,positive,2
illuminate,VBP,positive,2
endorse,VB,positive,2
satirize,VB,negative,1
irritable,JJ,negative,2
outrage,NN,negative,4
illicit,JJ,negative,2
noteworthy,JJ,positive,2
utterances,NNS,neutral,4
miraculousness,NN,positive,2
understanding,NN,positive,2
giants,NNS,neutral,4
risky,JJ,negative,2
beneficent,JJ,positive,2
temperance,NN,positive,2
profanity,NN,negative,2
infringe,VBP,negative,1
sacrifice,NN,negative,2
apprehend,VB,neutral,1
presumptuous,JJ,negative,4
mindful,JJ,positive,2
gripe,VBP,negative,2
amiability,NN,positive,2
intentions,NNS,neutral,4
reaffirmation,NN,positive,4
uncollectible,JJ,negative,1
relish,VB,positive,1
sermonize,VBP,negative,1
writhe,VBP,negative,1
renewable,JJ,neutral,2
though,IN,neutral,1
cognizance,NN,neutral,4
drunkard,NN,negative,2
responsibly,RB,positive,2
dragons,NNS,negative,4
obstacle,NN,negative,4
boldly,RB,positive,2
limited,JJ,negative,1
recalcitrant,JJ,negative,1
repudiation,NN,negative,4
depraved,JJ,negative,1
plotters,NNS,negative,4
starvation,NN,negative,2
impossibly,RB,negative,2
pique,VBP,negative,1
richly,RB,positive,2
extermination,NN,negative,2
fanaticism,NN,negative,2
hardball,NN,negative,4
coldly,RB,negative,2
illumine,VBP,positive,1
reassure,VB,positive,2
cordial,JJ,positive,2
devote,VBP,positive,2
humour,NN,positive,2
awareness,NN,neutral,2
significance,NN,positive,2
happy,JJ,positive,2
recommendation,NN,positive,2
recognition,NN,positive,4
beautify,VB,positive,1
myth,NN,negative,4
unfettered,JJ,positive,2
suffer,VBP,negative,2
cogent,JJ,positive,2
unproductive,JJ,negative,2
unauthentic,JJ,negative,2
misconceptions,NNS,negative,4
apocalyptic,JJ,negative,2
profit,NN,positive,4
decay,NN,negative,4
convenient,JJ,positive,4
exemplar,NN,positive,2
faithless,JJ,negative,1
expensive,JJ,negative,5
swear,VBP,negative,2
massive,JJ,neutral,2
wholesome,JJ,positive,2
naughty,JJ,negative,2
destiny,NN,neutral,6
jauntily,RB,positive,2
wisdom,NN,positive,4
villify,VB,negative,1
bad,JJ,negative,2
contradict,VB,negative,1
prate,VBP,negative,1
reluctantly,RB,negative,2
ineffectualness,NN,negative,2
inconstant,JJ,negative,1
demise,NN,negative,2
disaccord,NN,negative,1
inviolable,JJ,positive,2
narrow,JJ,negative,2
portable,JJ,positive,1
farsighted,JJ,positive,1
seedy,JJ,negative,2
inhibit,VB,negative,1
veto,NN,negative,4
limp,JJ,negative,2
aptly,RB,positive,2
grand,JJ,positive,2
grievance,NN,negative,2
accusation,NN,negative,4
irate,JJ,negative,2
immaterial,JJ,negative,2
disrespectable,JJ,negative,2
relax,VBP,positive,1
free,JJ,positive,3
subjection,NN,negative,2
scarcity,NN,negative,2
punitive,JJ,negative,4
agitator,NN,negative,2
dilemma,NN,negative,4
byzantine,JJ,negative,1
valiant,JJ,positive,2
sickness,NN,negative,2
fracture,NN,negative,4
scoff,VBP,negative,2
aghast,JJ,negative,2
inconsistent,JJ,negative,2
neutralize,VB,positive,1
believe,VBP,neutral,2
crackdown,NN,negative,4
ingratitude,NN,negative,2
knock,VB,negative,4
incapable,JJ,negative,2
cutthroat,JJ,negative,2
generous,JJ,positive,2
confuse,VB,negative,2
mistrust,NN,negative,4
apprehension,NN,negative,2
extensive,JJ,neutral,2
subtle,JJ,positive,2
mock,JJ,negative,4
recommend,VB,positive,2
hmm,FW,neutral,1
enemies,NNS,negative,4
lover,NN,positive,2
innovative,JJ,positive,2
avaricious,JJ,negative,2
independent,JJ,positive,2
competitive,JJ,positive,4
longing,NN,negative,2
erase,VB,negative,2
astounding,JJ,positive,6
educable,JJ,positive,2
bolster,VB,positive,2
celebrate,VB,positive,2
sunny,JJ,positive,2
sour,JJ,negative,2
declaim,VBP,negative,1
rumors,NNS,negative,4
surge,NN,positive,2
deluge,NN,negative,2
stylish,JJ,positive,2
recoil,VBP,negative,1
pertinacious,JJ,negative,1
aberration,NN,negative,4
plush,JJ,positive,2
acknowledge,VBP,positive,2
profitable,JJ,positive,2
brusque,JJ,negative,2
lukewarm,JJ,negative,2
premeditated,JJ,negative,1
liberation,NN,positive,4
scummy,JJ,negative,2
subjugation,NN,negative,2
defeat,NN,negative,2
pragmatic,JJ,positive,2
inculcate,VB,negative,1
cautious,JJ,negative,2
famished,JJ,negative,1
humiliation,NN,negative,4
prosecute,VB,negative,2
covetous,JJ,negative,4
magnify,VB,positive,1
murky,JJ,negative,2
excited,JJ,positive,1
fresh,JJ,positive,2
lazy,JJ,negative,2
essential,JJ,positive,2
renovate,VB,positive,2
repay,VB,positive,2
dissonantly,RB,negative,2
tramp,NN,negative,2
explicit,JJ,positive,2
smokescreen,NN,negative,4
stricken,JJ,negative,1
fidget,VBP,negative,1
genial,JJ,positive,2
infidel,NN,negative,2
painless,JJ,positive,2
venerable,JJ,positive,2
pure,JJ,positive,2
hilariousness,NN,positive,2
satisfactory,JJ,positive,2
exasperate,VB,negative,1
genuine,JJ,positive,2
unscrupulous,JJ,negative,2
erratically,RB,negative,2
infringements,NNS,negative,4
appalling,JJ,negative,2
fatuously,RB,negative,2
resounding,JJ,positive,2
division,NN,negative,2
drain,NN,negative,4
discontentedly,RB,negative,1
colorful,JJ,positive,2
realistic,JJ,positive,2
batons,NNS,neutral,4
conclusive,JJ,positive,1
conspicuous,JJ,negative,4
besmirch,VBP,negative,1
forget,VB,negative,2
obscenity,NN,negative,2
disapproval,NN,negative,4
decry,VB,negative,1
fully,RB,neutral,2
quiet,JJ,neutral,2
lawless,JJ,negative,1
merriness,NN,positive,2
injustice,NN,negative,4
extort,VB,negative,2
promise,NN,positive,2
pessimism,NN,negative,2
ripe,JJ,positive,2
vastly,RB,positive,2
brilliance,NN,positive,2
inclement,JJ,negative,1
beauteous,JJ,positive,2
shortcomings,NNS,negative,2
unsteadiness,NN,negative,2
trickery,NN,negative,2
insane,JJ,negative,2
dreams,NNS,positive,2
reflective,JJ,neutral,2
scandalize,VB,negative,1
fallaciously,RB,negative,2
salacious,JJ,negative,2
inconsiderate,JJ,negative,1
incorruptible,JJ,positive,2
unsuccessful,JJ,negative,2
opinion,NN,neutral,4
galling,JJ,negative,2
fastidious,JJ,negative,2
dinky,JJ,negative,1
troublemaker,NN,negative,4
perilously,RB,negative,2
improper,JJ,negative,2
erratic,JJ,negative,2
sneer,NN,negative,2
differ,VBP,negative,2
importantly,RB,positive,2
motivate,VB,positive,2
renounce,VB,negative,1
diligence,NN,positive,2
befoul,VB,negative,1
derision,NN,negative,2
mean,VB,neutral,2
afflictive,JJ,negative,1
fortress,NN,neutral,4
stressful,JJ,negative,2
uninsured,JJ,negative,2
unnerve,VB,negative,1
precise,JJ,positive,2
security,NN,positive,4
remedy,NN,positive,2
outspoken,JJ,neutral,4
optimistic,JJ,positive,2
glad,JJ,positive,2
trumpet,VB,positive,1
appearance,NN,neutral,4
hardships,NNS,negative,4
earnest,JJ,positive,1
manipulation,NN,negative,4
lecture,VBP,negative,2
fallacies,NNS,negative,4
domineering,JJ,negative,4
demands,NNS,both,4
pine,VBP,negative,2
barbarous,JJ,negative,4
appreciable,JJ,positive,2
hero,NN,positive,2
advantageous,JJ,positive,2
goodly,RB,positive,1
frenzied,JJ,negative,2
oversimplification,NN,negative,2
innocence,NN,positive,4
empathy,NN,negative,2
sanctimonious,JJ,negative,4
deform,VB,negative,1
hazardous,JJ,negative,2
rift,NN,negative,4
improbably,RB,negative,2
immorality,NN,negative,2
daunt,VB,negative,1
absurdness,NN,negative,1
jobless,JJ,negative,2
ostracize,VB,negative,1
assassin,NN,negative,2
doubtful,JJ,negative,2
dark,JJ,negative,1
misunderstood,VBN,negative,1
openness,NN,positive,4
shamelessness,NN,negative,2
exceed,VBP,positive,2
suspicion,NN,negative,4
pacify,VB,neutral,1
stagnation,NN,negative,2
boggle,VB,negative,1
niggle,VB,negative,1
intimidate,VBP,negative,1
outbursts,NNS,negative,4
monstrosity,NN,negative,2
avarice,NN,negative,1
conflict,NN,negative,4
objectively,RB,positive,2
poise,NN,positive,2
primary,JJ,neutral,1
challenging,JJ,negative,1
thinking,NN,neutral,2
haphazard,JJ,negative,1
adversarial,JJ,negative,2
cruel,JJ,negative,2
misjudgment,NN,negative,2
inarticulate,JJ,negative,1
urge,VB,positive,1
brimstone,NN,negative,4
fraud,NN,negative,4
cut,VBD,negative,1
cynicism,NN,negative,2
anguish,NN,negative,4
adorable,JJ,positive,2
euphoria,NN,positive,2
perfidious,JJ,negative,2
inadequacy,NN,negative,2
isolated,JJ,negative,1
carefree,JJ,positive,2
pugnacity,NN,negative,2
disservice,NN,negative,4
quandary,NN,negative,1
generosity,NN,positive,2
insouciance,NN,negative,2
scoundrel,NN,negative,2
poisonous,JJ,negative,2
beset,JJ,negative,1
heroic,JJ,positive,4
lurch,VBP,negative,2
lose,VBP,negative,1
notable,JJ,positive,4
altercation,NN,negative,1
abhorrence,NN,negative,2
miraculous,JJ,positive,2
considerate,JJ,positive,1
germane,JJ,positive,1
merry,JJ,positive,1
hardliners,NNS,negative,4
goodwill,NN,positive,4
dim,SYM,negative,2
unlicensed,JJ,negative,1
vast,JJ,positive,2
tolerance,NN,positive,4
asunder,IN,negative,1
accede,VB,positive,1
courtesy,NN,positive,2
correct,JJ,positive,4
afraid,JJ,negative,2
clandestine,JJ,neutral,2
abrasive,JJ,negative,1
calumny,NN,negative,2
vexation,NN,negative,2
untrustworthy,JJ,negative,2
miracles,NNS,positive,2
untimely,JJ,negative,2
spectacular,JJ,positive,2
blemish,NN,negative,4
smug,JJ,negative,2
insurmountably,RB,negative,2
deviate,VB,negative,3
innocent,JJ,positive,2
radiance,NN,positive,2
diligently,RB,positive,2
impudent,JJ,negative,2
excitingly,RB,positive,2
terrible,JJ,negative,4
renounce,VBP,negative,1
exclaim,VB,negative,1
brilliant,JJ,positive,4
civilize,VB,positive,2
inaction,NN,negative,2
disprove,VBP,negative,1
frustrated,JJ,negative,2
evade,VB,negative,2
wayward,JJ,negative,2
cuplrit,NN,negative,1
hopes,NNS,positive,2
salable,JJ,positive,2
puny,JJ,negative,2
stride,NN,positive,4
refine,VB,positive,2
acerbic,JJ,negative,2
rave,VB,positive,1
pivotal,JJ,neutral,2
impetus,NN,positive,2
aspersions,NNS,negative,2
loveless,JJ,negative,1
fist,NN,negative,2
mendacious,JJ,negative,2
unwise,JJ,negative,2
exuberance,NN,positive,2
pariah,NN,negative,2
guarantee,NN,positive,2
worn,JJ,negative,4
lack,NN,negative,2
responsible,JJ,positive,2
pains,NNS,negative,4
slender,JJR,positive,1
flaws,NNS,negative,2
sobering,JJ,negative,2
mortifying,JJ,negative,2
preponderance,NN,positive,4
misunderstood,VBD,negative,1
lavish,JJ,positive,4
discordance,NN,negative,2
eminent,JJ,positive,3
uproot,VB,negative,1
signals,NNS,neutral,2
taboo,NN,negative,2
abdicate,VBP,negative,1
mediocre,JJ,negative,2
insolvent,JJ,negative,2
disregard,NN,negative,4
acerbically,RB,negative,2
egocentric,JJ,negative,2
dreamland,NN,positive,1
licentious,JJ,negative,2
plagiarize,VB,negative,1
flexible,JJ,positive,2
felon,NN,negative,2
instable,JJ,negative,2
everlasting,JJ,positive,2
swore,VBD,negative,2
insufficiently,RB,negative,2
vileness,NN,negative,2
inclined,JJ,positive,1
polluters,NNS,negative,4
unfunded,JJ,negative,2
irritate,VB,negative,1
wisely,RB,positive,2
condescension,NN,negative,2
pretend,VB,negative,1
distinguished,JJ,positive,1
grievances,NNS,negative,4
bruise,NN,negative,1
outwit,VB,positive,1
cringe,VBP,negative,1
villianously,FW,negative,1
friendliness,NN,positive,4
think,VBP,neutral,1
fleeting,JJ,negative,2
tolerate,VBP,positive,2
overbearingly,RB,negative,2
traumatize,VB,negative,1
kiss,NN,positive,2
reviled,JJ,negative,1
imperfectly,RB,negative,2
right,NN,positive,3
offensive,NN,negative,3
unraveled,JJ,negative,1
inhospitable,JJ,negative,2
grisly,JJ,negative,2
cripple,VBP,negative,1
irk,VBP,negative,1
offence,NN,negative,4
pity,NN,negative,4
large,JJ,positive,7
paucity,NN,negative,4
expound,VBP,neutral,1
insecurity,NN,negative,4
insistent,JJ,positive,2
sedentary,JJ,negative,2
trouble,NN,negative,8
redundancy,NN,negative,2
prowess,NN,positive,2
toxic,JJ,negative,1
objection,NN,negative,4
broad,JJ,positive,3
interruption,NN,negative,2
unipolar,JJ,negative,2
facetiously,RB,negative,2
unorthodoxy,NN,negative,2
intolerance,NN,negative,4
queer,JJR,negative,1
conspire,VB,negative,1
plea,NN,negative,2
legacies,NNS,neutral,4
ill,JJ,negative,13
honest,JJ,positive,4
disarray,NN,negative,4
pedantic,JJ,negative,2
discontent,NN,negative,4
misunderstanding,VBG,negative,3
curse,NN,negative,4
feverish,JJ,negative,1
heck,NN,negative,2
incivility,NN,negative,2
ire,NN,negative,2
suspicious,JJ,negative,6
nonexistent,JJ,negative,2
paradise,NN,positive,2
imminence,NN,negative,2
optimal,JJ,positive,2
amicably,RB,positive,2
tangled,JJ,negative,1
calm,VB,positive,2
pervasive,JJ,m,4
concur,VB,positive,1
ennoble,VB,positive,1
weakening,NN,negative,2
unnecessary,JJ,negative,2
lier,NN,negative,1
keenness,NN,positive,4
devotion,NN,positive,2
harmonious,JJ,positive,2
disaffected,JJ,negative,2
painlessly,RB,positive,2
outmoded,JJ,negative,2
wastefulness,NN,negative,2
pillage,VB,negative,1
posterity,NN,positive,2
reclaim,VBP,positive,2
reasonably,RB,positive,2
criticisms,NNS,negative,4
disagreement,NN,negative,4
indisputable,JJ,positive,2
subvert,VBP,negative,1
staunchness,NN,positive,1
dexterity,NN,positive,2
iniquity,NN,negative,2
haughty,JJ,negative,2
intense,JJ,neutral,4
accuse,VBP,negative,2
bent,JJ,negative,1
terrorize,VB,negative,1
treason,NN,negative,2
cartoon,NN,negative,4
destruction,NN,negative,2
discredit,VB,negative,2
disadvantage,NN,negative,2
condone,VBP,positive,2
hostilities,NNS,negative,4
abhorrent,JJ,negative,2
pertinent,JJ,positive,2
foresight,NN,positive,2
impolite,JJ,negative,1
unhappily,RB,negative,2
repair,NN,positive,4
precipitous,JJ,negative,2
smile,VBP,positive,2
truculent,JJ,positive,2
battlefield,NN,negative,2
screamingly,RB,neutral,2
substantially,RB,positive,2
prosperity,NN,positive,4
impressions,NNS,positive,4
devilment,NN,negative,2
overzealously,RB,negative,2
cherub,NN,positive,2
malodorous,JJ,negative,2
admirer,NN,positive,2
reliability,NN,positive,2
frigid,JJ,negative,2
regressive,JJ,negative,2
dependent,JJ,neutral,4
diffidence,NN,negative,4
monstrous,JJ,negative,2
emotion,NN,neutral,4
shabby,JJ,negative,2
guarantee,VBP,positive,2
unsustainable,JJ,negative,2
relentlessness,NN,negative,2
functional,JJ,positive,2
pressure,NN,neutral,4
miser,NN,negative,1
bloodthirsty,JJ,negative,1
radiant,JJ,positive,2
endanger,VBP,negative,2
rogue,NN,negative,4
lovely,JJ,positive,4
heal,VB,positive,2
criticism,NN,negative,6
damn,NN,negative,3
cancerous,JJ,negative,2
lifelong,JJ,positive,2
propaganda,NN,negative,4
indescribably,RB,positive,2
drama,NN,negative,4
eliminate,VB,negative,2
succumb,VB,negative,1
substantive,JJ,positive,2
disobey,VB,negative,2
condemnable,JJ,negative,2
complication,NN,negative,2
drought,NN,negative,4
retract,VB,negative,1
enjoyment,NN,positive,2
sanctity,NN,positive,2
toll,NN,negative,4
perverse,JJ,negative,2
fertile,JJ,positive,4
dazed,JJ,negative,1
incomplete,JJ,negative,2
comfortable,JJ,positive,4
defamation,NN,negative,2
torment,VB,negative,4
promising,JJ,positive,1
capricious,JJ,negative,2
renunciation,NN,negative,2
praise,VB,positive,2
uncivilized,JJ,negative,2
effectual,JJ,positive,2
uneasy,JJ,negative,2
ferocious,JJ,negative,2
hardy,JJ,positive,2
discordant,JJ,negative,2
sagely,RB,positive,2
dig,VB,positive,2
indignity,NN,negative,4
scheme,NN,negative,4
suppose,VB,neutral,2
needlessly,RB,negative,2
wince,VBP,negative,1
misgiving,NN,negative,1
seamless,JJ,positive,2
muddle,VB,negative,1
brazenness,NN,negative,4
streamlined,JJ,positive,2
thorny,NN,negative,2
terribleness,NN,negative,2
assertive,JJ,positive,2
proscription,NN,negative,4
litigious,JJ,negative,2
pollute,VBP,negative,1
quarrel,VB,negative,3
master,NN,positive,4
shrewdness,NN,positive,2
hothead,NN,negative,2
bull,NN,positive,4
deserve,VBP,positive,2
deny,VBP,negative,2
abidance,NN,positive,2
detriment,NN,negative,2
despondence,NN,negative,2
ploy,NN,negative,4
electrify,VB,positive,1
lean,JJ,positive,4
nice,JJ,positive,2
animated,JJ,positive,1
excuse,NN,negative,6
appeal,NN,positive,6
staggering,JJ,negative,1
ingenuity,NN,positive,2
assiduous,JJ,positive,2
sanctify,VBP,positive,1
wariness,NN,negative,2
comical,JJ,negative,2
captivating,JJ,positive,1
graceful,JJ,positive,2
experienced,JJ,positive,1
distort,VB,negative,2
inflexible,JJ,negative,2
ominous,JJ,negative,2
outsider,NN,negative,2
plenary,JJ,neutral,1
spirit,NN,positive,4
durable,JJ,positive,2
tiresome,JJ,negative,2
violently,RB,negative,2
lustrous,JJ,positive,2
uninformed,JJ,negative,2
fat,JJ,negative,1
interests,NNS,positive,4
unlucky,JJ,negative,2
dissidents,NNS,negative,4
grace,NN,positive,2
helpless,JJ,negative,2
difficult,JJ,negative,2
ready,JJ,positive,2
egotism,NN,negative,2
improbable,JJ,negative,2
mercy,NN,positive,4
ulterior,JJ,negative,2
fancy,JJ,positive,2
stellar,JJ,positive,2
pointless,JJ,negative,2
discriminatingly,RB,positive,2
revel,VBP,positive,6
mystery,NN,negative,2
derogatory,JJ,negative,2
gallantly,RB,positive,2
absentee,IN,negative,1
decency,NN,positive,2
civilization,NN,positive,2
understate,VBP,positive,2
indulge,VBP,negative,2
unrestricted,JJ,positive,2
emotions,NNS,neutral,4
spiritual,JJ,positive,2
worst,JJS,negative,2
catastrophes,NNS,negative,2
esoteric,JJ,negative,2
commendably,RB,positive,2
accept,VB,positive,2
downfallen,NN,negative,1
belie,VBP,negative,2
legitimate,JJ,positive,2
maliciousness,NN,negative,2
affable,JJ,positive,2
flirt,VBP,negative,1
fabulous,JJ,positive,2
trim,JJ,positive,2
agree,VBP,positive,2
grin,SYM,positive,1
egotistical,JJ,negative,2
mar,NN,negative,2
congratulate,VBP,positive,1
hospitable,JJ,positive,2
rejection,NN,negative,4
possibility,NN,neutral,4
betrayal,NN,negative,2
soreness,NN,negative,2
atrocious,JJ,negative,2
crumble,VB,negative,1
monotonous,JJ,negative,2
ail,NN,negative,2
halfhearted,JJ,negative,2
contrary,JJ,negative,1
improvement,NN,positive,2
tricky,JJ,negative,4
betrayer,NN,negative,2
ego,NN,negative,4
dearth,NN,negative,2
mannerly,JJ,positive,2
rot,NN,negative,4
desirable,JJ,positive,2
infamy,NN,negative,2
distract,VB,negative,2
intimidation,NN,negative,4
seethe,VBP,negative,1
alleviate,VBP,positive,2
gaudy,JJ,negative,2
crass,JJ,negative,2
bloated,JJ,negative,2
infer,VBP,neutral,1
naively,RB,negative,2
furor,NN,negative,2
flaunt,VB,negative,1
untenable,JJ,negative,2
appreciation,NN,positive,4
devilish,JJ,negative,2
humane,NN,positive,2
uncivil,JJ,negative,2
pervert,VB,negative,1
contradict,VBP,negative,1
strain,NN,negative,4
confident,JJ,positive,2
beacon,NN,positive,1
bold,JJ,positive,2
melodramatically,RB,negative,2
timid,JJ,negative,2
humility,NN,positive,2
expansive,JJ,positive,2
slander,NN,negative,2
haunt,VB,negative,2
eccentricity,NN,negative,2
lewd,JJ,negative,2
dominance,NN,negative,4
flounder,VB,negative,2
foulness,NN,negative,2
unavoidably,RB,negative,2
sumptuously,RB,positive,2
commiserate,VBP,negative,1
eloquent,JJ,positive,2
harmless,JJ,positive,2
insurmountable,JJ,negative,2
visionary,JJ,positive,1
pauper,NN,negative,2
perplexity,NN,negative,2
valuable,JJ,positive,4
paradoxically,RB,negative,2
illusion,NN,negative,4
scathing,JJ,negative,2
willful,JJ,positive,2
lunaticism,NN,negative,1
pious,JJ,positive,2
moral,JJ,positive,4
agony,NN,negative,1
superfluous,JJ,negative,2
sufferer,NN,negative,1
scared,JJ,negative,1
scrutinize,VBP,neutral,2
disinterested,JJ,negative,4
phobia,NN,negative,2
brains,NNS,positive,4
studious,JJ,positive,2
wrath,NN,negative,2
exuberant,JJ,positive,2
vicious,JJ,negative,2
